,Div,Home Team,Away Team,Home Prob,Away Prob,Draw Prob,Fair Home Odd,Fair Draw Odd,Fair Away Odd
100,EC,Boreham Wood,Barnet,0.45,0.34,0.21,2.24,4.72,2.92
101,EC,Dag and Red,Fylde,0.47,0.42,0.11,2.13,9.37,2.36
102,EC,Dorking,Eastleigh,0.38,0.45,0.16,2.61,6.15,2.2
103,EC,Ebbsfleet,York,0.48,0.36,0.17,2.09,6.04,2.81
104,EC,Hartlepool,Wealdstone,0.53,0.3,0.17,1.89,5.81,3.35
105,EC,Maidenhead,Woking,0.37,0.49,0.14,2.73,7.13,2.03
106,EC,Rochdale,Halifax,0.49,0.35,0.16,2.03,6.24,2.89
107,EC,Solihull,Oxford City,0.52,0.31,0.17,1.94,5.76,3.22
108,EC,Southend,Kidderminster,0.48,0.36,0.16,2.08,6.2,2.8
109,EC,Gateshead,Oldham,0.48,0.34,0.18,2.08,5.47,2.97
9,F1,Toulouse,Clermont,0.48,0.33,0.19,2.09,5.29,3.01
13,F1,Nice,Strasbourg,0.49,0.33,0.18,2.05,5.44,3.05
110,F1,Brest,Rennes,0.37,0.5,0.14,2.72,7.3,2.02
10,F1,Le Havre,Lorient,0.39,0.4,0.21,2.56,4.73,2.52
169,F1,Nantes,Marseille,0.35,0.51,0.15,2.88,6.84,1.97
12,F1,Metz,Reims,0.33,0.5,0.17,3.05,5.89,1.99
11,F1,Lille,Montpellier,0.52,0.31,0.16,1.91,6.17,3.19
111,F1,Monaco,Lens,0.44,0.4,0.16,2.25,6.41,2.5
14,F1,Lyon,Paris SG,0.28,0.62,0.09,3.51,10.69,1.61
112,F2,Bordeaux,Auxerre,0.46,0.36,0.19,2.19,5.4,2.78
113,F2,Ajaccio,Dunkerque,0.5,0.31,0.2,2.02,5.06,3.26
114,F2,Amiens,Guingamp,0.44,0.36,0.19,2.26,5.13,2.76
115,F2,Angers,Paris FC,0.48,0.35,0.17,2.08,5.85,2.87
117,F2,Grenoble,Bastia,0.43,0.35,0.23,2.35,4.43,2.87
118,F2,Laval,Caen,0.34,0.49,0.17,2.95,5.83,2.05
119,F2,Pau FC,Rodez,0.41,0.39,0.21,2.47,4.87,2.57
120,F2,St Etienne,Valenciennes,0.55,0.3,0.15,1.82,6.6,3.34
121,F2,Troyes,Quevilly Rouen,0.45,0.37,0.18,2.2,5.65,2.72
116,F2,Concarneau,Annecy,0.47,0.34,0.19,2.13,5.39,2.9
170,G1,Kifisias,Atromitos,0.43,0.38,0.19,2.35,5.14,2.63
17,G1,Olympiakos,Lamia,0.73,0.2,0.07,1.37,14.16,4.96
122,G1,Panserraikos,Panetolikos,0.46,0.36,0.18,2.17,5.52,2.8
16,G1,OFI Crete,PAOK,0.31,0.54,0.16,3.27,6.3,1.87
19,G1,Giannina,Panathinaikos,0.29,0.56,0.15,3.46,6.56,1.79
18,G1,Volos NFC,AEK,0.2,0.71,0.09,4.94,11.17,1.41
15,G1,Aris,Asteras Tripolis,0.54,0.28,0.18,1.84,5.62,3.59
124,I1,Udinese,Frosinone,0.51,0.31,0.18,1.95,5.7,3.21
20,I1,Inter,Fiorentina,0.54,0.31,0.15,1.84,6.68,3.26
123,I1,Bologna,Cagliari,0.57,0.29,0.14,1.76,7.24,3.39
126,I1,Napoli,Lazio,0.53,0.31,0.16,1.89,6.11,3.25
171,I1,Sassuolo,Verona,0.48,0.36,0.16,2.07,6.21,2.82
172,I1,Roma,Milan,0.39,0.39,0.22,2.59,4.56,2.53
23,I1,Lecce,Salernitana,0.49,0.32,0.18,2.03,5.48,3.09
22,I1,Empoli,Juventus,0.3,0.57,0.14,3.36,7.4,1.76
21,I1,Torino,Genoa,0.48,0.33,0.19,2.07,5.23,3.07
125,I1,Atalanta,Monza,0.55,0.3,0.14,1.81,7.04,3.29
26,I2,Ternana,Bari,0.4,0.41,0.19,2.53,5.23,2.42
25,I2,Spezia,Como,0.57,0.31,0.12,1.77,8.28,3.19
24,I2,Cremonese,Sampdoria,0.49,0.33,0.18,2.05,5.59,2.99
130,I2,Sudtirol,Ascoli,0.44,0.33,0.23,2.29,4.26,3.05
129,I2,Parma,Reggiana,0.57,0.29,0.13,1.75,7.43,3.41
128,I2,Palermo,FeralpiSalo,0.52,0.3,0.18,1.91,5.65,3.33
127,I2,Modena,Pisa,0.39,0.35,0.26,2.54,3.85,2.88
27,I2,Cittadella,Venezia,0.44,0.37,0.2,2.29,5.03,2.74
133,N1,Waalwijk,PSV Eindhoven,0.23,0.68,0.09,4.28,11.71,1.47
132,N1,Go Ahead Eagles,Heerenveen,0.44,0.4,0.16,2.29,6.32,2.47
134,N1,Heracles,Excelsior,0.51,0.32,0.16,1.94,6.22,3.08
131,N1,Almere City,Zwolle,0.39,0.48,0.13,2.59,7.54,2.08
31,N1,Vitesse,AZ Alkmaar,0.34,0.5,0.16,2.91,6.4,2.0
28,N1,Utrecht,Feyenoord,0.28,0.53,0.2,3.59,5.12,1.9
29,N1,For Sittard,Ajax,0.24,0.65,0.11,4.11,9.27,1.54
30,N1,Volendam,Twente,0.29,0.58,0.13,3.42,7.62,1.74
173,N1,Sparta Rotterdam,Nijmegen,0.5,0.34,0.16,2.0,6.29,2.94
138,P1,Benfica,Guimaraes,0.69,0.22,0.09,1.45,11.16,4.53
137,P1,Portimonense,Estrela,0.4,0.4,0.2,2.48,5.1,2.49
136,P1,Famalicao,Farense,0.5,0.32,0.19,2.01,5.39,3.16
135,P1,Casa Pia,Rio Ave,0.49,0.35,0.16,2.06,6.22,2.83
174,P1,Vizela,Gil Vicente,0.48,0.38,0.14,2.07,7.37,2.63
33,P1,Estoril,Boavista,0.45,0.36,0.19,2.23,5.35,2.75
34,P1,Porto,Arouca,0.71,0.21,0.08,1.4,12.41,4.88
35,P1,Sp Braga,Sp Lisbon,0.4,0.45,0.15,2.5,6.46,2.25
32,P1,Chaves,Moreirense,0.45,0.35,0.2,2.23,5.03,2.84
36,SC0,Rangers,Celtic,0.45,0.42,0.13,2.21,7.95,2.37
37,SC0,Aberdeen,Hibernian,0.47,0.36,0.17,2.13,5.85,2.78
139,SC0,Kilmarnock,Ross County,0.52,0.33,0.15,1.94,6.58,3.01
140,SC0,Livingston,St Mirren,0.4,0.42,0.18,2.48,5.52,2.41
141,SC0,St Johnstone,Dundee,0.4,0.41,0.19,2.51,5.15,2.45
38,SC0,Hearts,Motherwell,0.46,0.33,0.21,2.17,4.86,3.0
145,SC1,Morton,Partick,0.44,0.41,0.15,2.3,6.56,2.43
146,SC1,Raith Rvs,Queens Park,0.47,0.36,0.16,2.11,6.18,2.74
143,SC1,Dundee United,Airdrie Utd,0.56,0.3,0.14,1.79,7.0,3.37
144,SC1,Inverness C,Dunfermline,0.46,0.38,0.16,2.17,6.3,2.62
142,SC1,Arbroath,Ayr,0.4,0.41,0.19,2.5,5.39,2.42
147,SC2,Alloa,Cove Rangers,0.41,0.45,0.14,2.45,7.06,2.22
148,SC2,Edinburgh City,Falkirk,0.24,0.56,0.2,4.15,4.93,1.8
149,SC2,Kelty Hearts,Annan Athletic,0.57,0.3,0.13,1.75,7.52,3.37
150,SC2,Queen of Sth,Montrose,0.53,0.33,0.14,1.89,6.9,3.06
