Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Country,League,Season,Date,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,Attendance"
Div,Date,Team,Opponent,FTG_Team,FTG_Opponent,R,x,x,x,B365_Team,B365_Draw,B365_Opponent,BW_Team,BW_Draw,BW_Opponent,GB_Team,GBD,GB_Opponent,IW_Team,IW_Draw,IW_Opponent,LB_Team,LBD,LB_Opponent,SB_Team,SB_Draw,SB_Opponent,WH_Team,WH_Draw,WH_Opponent,SJ_Team,SJ_Draw,SJ_Opponent,VC_Team,VC_Draw,VC_Opponent,BS_Team,BS_Draw,BS_Opponent,Bb1X2,BbMax_Team,BbAvg_Team,BbMaxD,BbAvgD,BbMax_Opponent,BbAvg_Opponent,Over_under_anz_booker_Team,BbMax_groesser_2_5,BbAvg_groesser_2_5_Team,BbMax_kleiner_2_5_Team,BbAvg_kleiner_2_5_Team,asian_handicap_anz_booker_Team,x,Bb_max_handicap_Team,Bb_avg_handicap_Team,Bb_max_handicap_Opponent,Bb_avg_handicap_Opponent,Country,Div,Season,Date,Team,Opponent,FTG_Team,FTG_Opponent,R,P_Team,P_Draw,P_Opponent,Max_Team,Max_Draw,Max_Opponent,Avg_Team,Avg_Draw,Avg_Opponent,Shots_Team,Shots_Opponent,ShotsOnTarget_Team,ShotsOnTarget_Opponent,Aluminium_Team,Aluminium_Opponent,Cards_Team,Cards_Opponent,Fouls_Team,Fouls_Opponent,Offside_TeamOffside_Opponent,,Yellow_Team,Yellow_Opponent,Red_Team,Red_Opponent,Attendance
Div,Date,Opponent,Team,FTG_Opponent,FTG_Team,R,x,x,x,B365_Opponent,B365_Draw,B365_Team,BW_Opponent,BW_Draw,BW_Team,GB_Opponent,GBD,GB_Team,IW_Opponent,IW_Draw,IW_Team,LB_Opponent,LBD,LB_Team,SB_Opponent,SB_Draw,SB_Team,WH_Opponent,WH_Draw,WH_Team,SJ_Opponent,SJ_Draw,SJ_Team,VC_Opponent,VC_Draw,VC_Team,BS_Opponent,BS_Draw,BS_Team,Bb1X2,BbMax_Opponent,BbAvg_Opponent,BbMaxD,BbAvgD,BbMax_Team,BbAvg_Team,Over_under_anz_booker_Opponent,BbMax_groesser_2_5_Opponent,BbAvg_groesser_2_5_Opponent,BbMax_kleiner_2_5_Opponent,BbAvg_kleiner_2_5_Opponent,asian_handicap_anz_booker_Opponent,x,Bb_max_handicap__Opponent,Bb_avg_handicap_Opponent,Bb_max_handicap_Team,Bb_avg_handicap_Team,Country,Div,Season,Date,Opponent,Team,FTG_Opponent,FTG_Team,R,P_Opponent,P_Draw,P_Team,Max_Opponent,Max_Draw,Max_Team,Avg_Opponent,Avg_Draw,Avg_Team,Shots_Opponent,Shots_Team,ShotsOnTarget_Opponent,ShotsOnTarget_Team,Aluminium_Opponent,Aluminium_Team,Cards_Opponent,Cards_Team,Fouls_Opponent,Fouls_Team,Offside_Opponent,Offside_Team,Yellow_Opponent,Yellow_Team,Red_Opponent,Red_Team,Attendance
